Web Search interest: gives
Denmark 2010-2014

Interest over time
Week,gives
2010-01-03 - 2010-01-09,0
2010-01-10 - 2010-01-16,52
2010-01-17 - 2010-01-23,0
2010-01-24 - 2010-01-30,0
2010-01-31 - 2010-02-06,0
2010-02-07 - 2010-02-13,0
2010-02-14 - 2010-02-20,0
2010-02-21 - 2010-02-27,0
2010-02-28 - 2010-03-06,0
2010-03-07 - 2010-03-13,0
2010-03-14 - 2010-03-20,0
2010-03-21 - 2010-03-27,56
2010-03-28 - 2010-04-03,0
2010-04-04 - 2010-04-10,0
2010-04-11 - 2010-04-17,0
2010-04-18 - 2010-04-24,0
2010-04-25 - 2010-05-01,0
2010-05-02 - 2010-05-08,60
2010-05-09 - 2010-05-15,63
2010-05-16 - 2010-05-22,74
2010-05-23 - 2010-05-29,86
2010-05-30 - 2010-06-05,64
2010-06-06 - 2010-06-12,64
2010-06-13 - 2010-06-19,64
2010-06-20 - 2010-06-26,64
2010-06-27 - 2010-07-03,0
2010-07-04 - 2010-07-10,0
2010-07-11 - 2010-07-17,0
2010-07-18 - 2010-07-24,0
2010-07-25 - 2010-07-31,0
2010-08-01 - 2010-08-07,0
2010-08-08 - 2010-08-14,0
2010-08-15 - 2010-08-21,0
2010-08-22 - 2010-08-28,0
2010-08-29 - 2010-09-04,0
2010-09-05 - 2010-09-11,0
2010-09-12 - 2010-09-18,0
2010-09-19 - 2010-09-25,0
2010-09-26 - 2010-10-02,0
2010-10-03 - 2010-10-09,0
2010-10-10 - 2010-10-16,51
2010-10-17 - 2010-10-23,77
2010-10-24 - 2010-10-30,58
2010-10-31 - 2010-11-06,58
2010-11-07 - 2010-11-13,58
2010-11-14 - 2010-11-20,58
2010-11-21 - 2010-11-27,50
2010-11-28 - 2010-12-04,50
2010-12-05 - 2010-12-11,41
2010-12-12 - 2010-12-18,41
2010-12-19 - 2010-12-25,41
2010-12-26 - 2011-01-01,41
2011-01-02 - 2011-01-08,41
2011-01-09 - 2011-01-15,37
2011-01-16 - 2011-01-22,39
2011-01-23 - 2011-01-29,40
2011-01-30 - 2011-02-05,37
2011-02-06 - 2011-02-12,43
2011-02-13 - 2011-02-19,40
2011-02-20 - 2011-02-26,48
2011-02-27 - 2011-03-05,44
2011-03-06 - 2011-03-12,40
2011-03-13 - 2011-03-19,43
2011-03-20 - 2011-03-26,41
2011-03-27 - 2011-04-02,45
2011-04-03 - 2011-04-09,41
2011-04-10 - 2011-04-16,39
2011-04-17 - 2011-04-23,50
2011-04-24 - 2011-04-30,64
2011-05-01 - 2011-05-07,63
2011-05-08 - 2011-05-14,57
2011-05-15 - 2011-05-21,44
2011-05-22 - 2011-05-28,38
2011-05-29 - 2011-06-04,43
2011-06-05 - 2011-06-11,50
2011-06-12 - 2011-06-18,48
2011-06-19 - 2011-06-25,45
2011-06-26 - 2011-07-02,41
2011-07-03 - 2011-07-09,43
2011-07-10 - 2011-07-16,57
2011-07-17 - 2011-07-23,57
2011-07-24 - 2011-07-30,56
2011-07-31 - 2011-08-06,50
2011-08-07 - 2011-08-13,50
2011-08-14 - 2011-08-20,41
2011-08-21 - 2011-08-27,42
2011-08-28 - 2011-09-03,44
2011-09-04 - 2011-09-10,47
2011-09-11 - 2011-09-17,47
2011-09-18 - 2011-09-24,48
2011-09-25 - 2011-10-01,37
2011-10-02 - 2011-10-08,42
2011-10-09 - 2011-10-15,39
2011-10-16 - 2011-10-22,41
2011-10-23 - 2011-10-29,39
2011-10-30 - 2011-11-05,41
2011-11-06 - 2011-11-12,64
2011-11-13 - 2011-11-19,43
2011-11-20 - 2011-11-26,43
2011-11-27 - 2011-12-03,42
2011-12-04 - 2011-12-10,43
2011-12-11 - 2011-12-17,41
2011-12-18 - 2011-12-24,40
2011-12-25 - 2011-12-31,39
2012-01-01 - 2012-01-07,45
2012-01-08 - 2012-01-14,40
2012-01-15 - 2012-01-21,50
2012-01-22 - 2012-01-28,43
2012-01-29 - 2012-02-04,42
2012-02-05 - 2012-02-11,46
2012-02-12 - 2012-02-18,48
2012-02-19 - 2012-02-25,42
2012-02-26 - 2012-03-03,38
2012-03-04 - 2012-03-10,46
2012-03-11 - 2012-03-17,61
2012-03-18 - 2012-03-24,54
2012-03-25 - 2012-03-31,40
2012-04-01 - 2012-04-07,43
2012-04-08 - 2012-04-14,49
2012-04-15 - 2012-04-21,54
2012-04-22 - 2012-04-28,56
2012-04-29 - 2012-05-05,56
2012-05-06 - 2012-05-12,52
2012-05-13 - 2012-05-19,47
2012-05-20 - 2012-05-26,48
2012-05-27 - 2012-06-02,42
2012-06-03 - 2012-06-09,53
2012-06-10 - 2012-06-16,51
2012-06-17 - 2012-06-23,56
2012-06-24 - 2012-06-30,44
2012-07-01 - 2012-07-07,51
2012-07-08 - 2012-07-14,50
2012-07-15 - 2012-07-21,51
2012-07-22 - 2012-07-28,56
2012-07-29 - 2012-08-04,57
2012-08-05 - 2012-08-11,49
2012-08-12 - 2012-08-18,51
2012-08-19 - 2012-08-25,45
2012-08-26 - 2012-09-01,63
2012-09-02 - 2012-09-08,56
2012-09-09 - 2012-09-15,57
2012-09-16 - 2012-09-22,48
2012-09-23 - 2012-09-29,55
2012-09-30 - 2012-10-06,53
2012-10-07 - 2012-10-13,49
2012-10-14 - 2012-10-20,56
2012-10-21 - 2012-10-27,50
2012-10-28 - 2012-11-03,55
2012-11-04 - 2012-11-10,45
2012-11-11 - 2012-11-17,55
2012-11-18 - 2012-11-24,50
2012-11-25 - 2012-12-01,47
2012-12-02 - 2012-12-08,57
2012-12-09 - 2012-12-15,48
2012-12-16 - 2012-12-22,43
2012-12-23 - 2012-12-29,49
2012-12-30 - 2013-01-05,44
2013-01-06 - 2013-01-12,42
2013-01-13 - 2013-01-19,45
2013-01-20 - 2013-01-26,46
2013-01-27 - 2013-02-02,46
2013-02-03 - 2013-02-09,49
2013-02-10 - 2013-02-16,51
2013-02-17 - 2013-02-23,61
2013-02-24 - 2013-03-02,45
2013-03-03 - 2013-03-09,48
2013-03-10 - 2013-03-16,48
2013-03-17 - 2013-03-23,41
2013-03-24 - 2013-03-30,52
2013-03-31 - 2013-04-06,53
2013-04-07 - 2013-04-13,53
2013-04-14 - 2013-04-20,53
2013-04-21 - 2013-04-27,58
2013-04-28 - 2013-05-04,51
2013-05-05 - 2013-05-11,53
2013-05-12 - 2013-05-18,51
2013-05-19 - 2013-05-25,59
2013-05-26 - 2013-06-01,50
2013-06-02 - 2013-06-08,54
2013-06-09 - 2013-06-15,56
2013-06-16 - 2013-06-22,62
2013-06-23 - 2013-06-29,69
2013-06-30 - 2013-07-06,62
2013-07-07 - 2013-07-13,48
2013-07-14 - 2013-07-20,60
2013-07-21 - 2013-07-27,60
2013-07-28 - 2013-08-03,59
2013-08-04 - 2013-08-10,66
2013-08-11 - 2013-08-17,55
2013-08-18 - 2013-08-24,57
2013-08-25 - 2013-08-31,61
2013-09-01 - 2013-09-07,52
2013-09-08 - 2013-09-14,45
2013-09-15 - 2013-09-21,50
2013-09-22 - 2013-09-28,56
2013-09-29 - 2013-10-05,58
2013-10-06 - 2013-10-12,48
2013-10-13 - 2013-10-19,54
2013-10-20 - 2013-10-26,61
2013-10-27 - 2013-11-02,52
2013-11-03 - 2013-11-09,48
2013-11-10 - 2013-11-16,51
2013-11-17 - 2013-11-23,54
2013-11-24 - 2013-11-30,55
2013-12-01 - 2013-12-07,62
2013-12-08 - 2013-12-14,51
2013-12-15 - 2013-12-21,52
2013-12-22 - 2013-12-28,58
2013-12-29 - 2014-01-04,55
2014-01-05 - 2014-01-11,50
2014-01-12 - 2014-01-18,56
2014-01-19 - 2014-01-25,56
2014-01-26 - 2014-02-01,56
2014-02-02 - 2014-02-08,54
2014-02-09 - 2014-02-15,57
2014-02-16 - 2014-02-22,54
2014-02-23 - 2014-03-01,62
2014-03-02 - 2014-03-08,62
2014-03-09 - 2014-03-15,53
2014-03-16 - 2014-03-22,60
2014-03-23 - 2014-03-29,55
2014-03-30 - 2014-04-05,43
2014-04-06 - 2014-04-12,51
2014-04-13 - 2014-04-19,57
2014-04-20 - 2014-04-26,59
2014-04-27 - 2014-05-03,66
2014-05-04 - 2014-05-10,55
2014-05-11 - 2014-05-17,71
2014-05-18 - 2014-05-24,61
2014-05-25 - 2014-05-31,43
2014-06-01 - 2014-06-07,52
2014-06-08 - 2014-06-14,58
2014-06-15 - 2014-06-21,68
2014-06-22 - 2014-06-28,70
2014-06-29 - 2014-07-05,71
2014-07-06 - 2014-07-12,100
2014-07-13 - 2014-07-19,58
2014-07-20 - 2014-07-26,73
2014-07-27 - 2014-08-02,53
2014-08-03 - 2014-08-09,57
2014-08-10 - 2014-08-16,51
2014-08-17 - 2014-08-23,63
2014-08-24 - 2014-08-30,68
2014-08-31 - 2014-09-06,53
2014-09-07 - 2014-09-13,50
2014-09-14 - 2014-09-20,60
2014-09-21 - 2014-09-27,65
2014-09-28 - 2014-10-04,55
2014-10-05 - 2014-10-11,63
2014-10-12 - 2014-10-18,67
2014-10-19 - 2014-10-25,59
2014-10-26 - 2014-11-01,64
2014-11-02 - 2014-11-08,54
2014-11-09 - 2014-11-15,57
2014-11-16 - 2014-11-22,57
2014-11-23 - 2014-11-29,48
2014-11-30 - 2014-12-06,54
2014-12-07 - 2014-12-13,55
2014-12-14 - 2014-12-20,50
2014-12-21 - 2014-12-27,60
2014-12-28 - 2015-01-03,60


Top subregions for gives
Subregion,gives
Region Zealand,100
North Denmark Region,97
Capital Region of Denmark,93
Central Denmark Region,92
Syddanmark,88


Top cities for gives
City,gives
Samsø,100
Roskilde County,91
Randers,90
Vejle County,86
Aalborg,81
Hvidovre,79
Kolding,76
Odense,72
Aarhus,72
Copenhagen,71
Frederiksberg,71



Top searches for gives
gives væk,100
gives bort,25
hunde gives væk,15






